Time,Content,Link,Source,Tags,Prio,Cat,Sent,RawTime
2026-01-16 18:36:26,【摩根士丹利：牛市情境下阿斯麦还有70%的上涨空间】金十数据1月16日讯，摩根士丹利看好荷兰半导体设备制造商阿斯麦的股价表现，该行分析师表示，在最乐观的情况下，随着芯片制造商加大支出以满足人工智能的飙升需求，该股未来将上涨70%，股价可能高达2000欧元。在台积电的业绩表明人工智能领域的支出热潮并未放缓之后，摩根士丹利更加看好阿斯麦。阿斯麦股价在2026年迄今已上涨25%，市值本周突破5000亿美元，成为欧洲第三家达到这一里程碑的公司。,,🌍 金十,['🟢 利好: 突破'],1,stock_event,POS,2026-01-16 18:36:26
2026-01-16 18:35:15,"【宏源药业：预计2025年净利润同比增长119.57%~166.20%】金十数据1月16日讯，宏源药业公告，预计2025年度净利润为1.13亿元~1.37亿元，同比增长119.57%~166.20%。扣除非经常性损益后的净利润为8200万元~1.06亿元，同比增长782.01%~1,040.17%。2025年度经营业绩预计较去年同期大幅上升，主要受六氟磷酸锂业务影响。报告期内，新能源车市场需求持续增长以及储能市场需求快速增长，公司六氟磷酸锂业务盈利能力显著改善。预计报告期内非经常性损益对归属于上市公司股东的净利润的影响金额约为3100万元。",,🌍 金十,"['🟢 利好: 增长,盈利']",1,stock_event,POS,2026-01-16 18:35:15
2026-01-16 18:34:29,"【时空科技：收到北京证监局行政监管措施决定书】金十数据1月16日讯，时空科技公告，公司于2026年1月16日收到中国证券监督管理委员会北京监管局《关于对北京新时空科技股份有限公司采取责令改正措施并对宫殿海、姜化朋、王新才采取出具警示函措施的决定》。2024年控股股东、实际控制人宫殿海通过员工借款等形式从公司拆借资金合计2,386.4万元，形成非经营性资金占用。截至2024年末，宫殿海已全额归还上述款项。预期信用减值损失计提不规范、闲置固定资产存在减值迹象、商誉减值测试部分参数预测依据不足，截至2024年末，公司信用减值和资产减值准备计提不充分。是2023年至2024年公司将部分与项目开展无直接关联的支出计入在建工程核算，累计105.3万元。公司与资金支付审批、供应商审批、财务核算管理等相关的内部控制不完善。",,🌍 金十,['🔴 利空: 警示'],1,stock_event,NEG,2026-01-16 18:34:29
2026-01-16 18:32:08,【广安爱众：预计2025年度归属于上市公司股东的净利润为负值】金十数据1月16日讯，广安爱众公告，公司财务部门初步测算，预计2025年度归属于上市公司股东的净利润为负值，公司2025年度经营业绩将出现亏损。公司将严格遵循《上海证券交易所股票上市规则》等相关规定，加快推进财务核算工作，尽快披露2025年度业绩预告。最终财务数据请以公司正式披露的2025年年度报告为准。,,🌍 金十,['🔴 利空: 亏损'],1,stock_event,NEG,2026-01-16 18:32:08
2026-01-16 18:31:19,【机构分析：美元的主导地位仍然稳固】金十数据1月16日讯，机构分析表示，对美元可能失去主导地位的担忧似乎有些过度，几乎没有证据表明去美元化正在发生。外国对美国资产，包括国债、企业债和股票等的需求依然强劲。美元的走势主要由利率和增长预期的变化驱动，而非外国抛售或信心崩溃。只要美国的生产力增长保持强劲，美元作为例外论的基础就依然稳固。,,🌍 金十,['🟢 利好: 增长'],1,stock_event,POS,2026-01-16 18:31:19
2026-01-16 18:29:16,美国银行：将欧洲保险行业评级上调至与平配。,,🌍 金十,['🟢 利好: 上调'],1,stock_event,POS,2026-01-16 18:29:16
2026-01-16 18:29:08,【钢研高纳：预计2025年净利润同比下降61.79%-73.86%】金十数据1月16日讯，钢研高纳公告，预计2025年度净利润为6500万元到9500万元，同比下降61.79%-73.86%。报告期内，受产品价格调整因素影响，导致公司2025年当期利润出现较大幅度下降；客户需求结构出现较大幅度调整，部分产品竞争激烈，产品价格持续下降，公司毛利率进一步受到挤压，进而导致公司利润较上年同期出现较大幅度下降。,,🌍 金十,['🔴 利空: 下降'],1,stock_event,NEG,2026-01-16 18:29:08
2026-01-16 18:28:01,【联创光电：控股股东江西省电子集团拟减持不超过2%】金十数据1月16日讯，联创光电公告，控股股东江西省电子集团有限公司持有9473.61万股，占21.01%，拟因偿还质押借款及自身经营发展需要，自2026年2月9日至2026年5月8日，通过大宗交易方式减持不超过901.78万股，不超过公司总股本的2%，减持价格按实施时市场价格确定。,,🌍 金十,['🔴 利空: 减持'],1,stock_event,NEG,2026-01-16 18:28:01
2026-01-16 18:24:26,【德商银行：英国经济数据向好 为英镑提供了积极信号】金十数据1月16日讯，德商银行分析师迈克尔·普菲斯特称，尽管英国经济仍面临挑战，周四公布的11月经济增长数据意外向好，为英镑提供了一个积极信号。数据显示，英国经济在11月增长了0.3%。尽管对11月预算中财政紧缩的担忧犹存，但经济依然录得稳健增长。因此，对于经济衰退和更大幅度降息的担忧可能为时过早。下周将公布劳动力市场和通胀数据，而后者对于英镑未来数周的表现尤为关键。,,🌍 金十,['🟢 利好: 增长'],1,stock_event,POS,2026-01-16 18:24:26
2026-01-16 18:21:12,【澜起科技：预计2025年度净利润同比增长52.29%~66.46%】金十数据1月16日讯，澜起科技公告，经财务部门初步测算，澜起科技股份有限公司预计2025年度实现归属于母公司所有者的净利润21.50亿元~23.50亿元，较上年同期增长52.29%~66.46%；2025年度实现归属于母公司所有者的扣除非经常性损益的净利润19.20亿元~21.20亿元，较上年同期增长53.81%~69.83%。,,🌍 金十,['🟢 利好: 增长'],1,stock_event,POS,2026-01-16 18:21:12
