Time,Content,Link,Source,Tags,Prio,Cat,RawTime
2026-01-16 17:13:26,【上交所：对合盛硅业股份有限公司及有关责任人予以监管警示】金十数据1月16日讯，上交所发布关于对合盛硅业股份有限公司及有关责任人予以监管警示的决定。公司关联交易审议披露不规范、重大投资披露不及时。鉴于违规事实和情节，上交所对合盛硅业股份有限公司及时任董事长罗立国、时任总经理罗烨栋、时任财务总监张雅聪、时任董事会秘书高君秋予以监管警示。,,🌍 金十,[],0,other,2026-01-16 17:13:26
2026-01-16 17:12:26,西贝餐饮创始人贾国龙预告今晚10点就罗永浩对西贝的重大污蔑诽谤一一全面回应。,,🌍 金十,[],0,other,2026-01-16 17:12:26
2026-01-16 17:11:00,【翠微股份：预计2025年度净亏4.5亿元-4.9亿元】金十数据1月16日讯，翠微股份公告，经财务部门初步测算，公司预计2025年年度实现归属于上市公司股东的净利润为-4.9亿元到-4.5亿元。预计2025年年度实现归属于上市公司股东的扣除非经常性损益的净利润为-5.3亿元到-4.9亿元。公司零售业务受市场环境影响，销售收入下滑，综合毛利减少，导致零售业务经营亏损。同时，基于当前零售业务市场环境影响，公司在报告期相应调减了递延所得税资产的确认金额，对本期净利润产生一定影响。,,🌍 金十,[],0,other,2026-01-16 17:11:00
2026-01-16 17:10:01,【世茂能源：终止筹划控制权变更事项，股票复牌】金十数据1月16日讯，世茂能源公告，公司于2026年1月11日收到控股股东世茂投资及实际控制人正在筹划公司股份转让事项的通知，该事项可能导致公司的控制权变更。停牌期间，公司控股股东世茂投资及实际控制人与交易对方就筹划控制权变更事项进行了充分沟通与论证，但双方就部分核心条款未能达成一致意见，基于审慎决策原则，为切实维护公司全体股东及公司利益，相关交易方经慎重考虑、协商，决定终止筹划本次控制权变更事项，各方对终止筹划本次控制权变更事项无需承担违约责任。经公司向上海证券交易所申请，公司股票自2026年1月19日（星期一）开市起复牌。,,🌍 金十,[],0,other,2026-01-16 17:10:01
2026-01-16 17:09:50,【上汽集团与新疆准东经开区达成合作，建设年产1000台无人矿卡一体化项目】金十数据1月16日讯，近日，新疆准东经济技术开发区管理委员会与上汽集团旗下上汽红岩汽车有限公司、上海友道智途科技有限公司正式签署战略合作框架协议。三方将聚焦矿山无人驾驶规模化应用、智能装备制造基地建设及区域营运网络布局，共同推进年产能1000台的无人矿卡一体化项目，同步设立辐射新疆全域的无人矿卡区域营运中心。,,🌍 金十,[],0,other,2026-01-16 17:09:50
2026-01-16 17:09:17,【光大嘉宝：预计2025年净亏13.2亿元】金十数据1月16日讯，光大嘉宝公告，预计2025年度实现归属于母公司所有者的净利润-13.2亿元，上年同期为-13.94亿元；预计2025年度实现归属于母公司所有者的扣除非经常性损益后的净利润-14.47亿元。,,🌍 金十,[],0,other,2026-01-16 17:09:17
2026-01-16 17:09:04,证监会同意杭州福恩股份有限公司首次公开发行股票注册。,,🌍 金十,[],0,other,2026-01-16 17:09:04
2026-01-16 17:08:19,【重庆燃气：董事朱锂坤离任】金十数据1月16日讯，重庆燃气公告，公司董事会于近日收到股东华润燃气投资（中国）有限公司来函及公司董事朱锂坤的书面辞职报告，因工作调整，朱锂坤申请辞去担任的公司董事职务。根据《公司法》《公司章程》及相关规定，朱锂坤辞职不会导致公司董事会成员低于法定最低人数，不会影响公司董事会的正常运行，其辞职不会对公司正常的经营发展产生影响，该辞职自辞职报告送达董事会时生效。,,🌍 金十,[],0,other,2026-01-16 17:08:19
2026-01-16 17:07:38,【黄金小幅走低 但本周仍能守住涨势】金十数据1月16日讯，金价在欧洲早盘交易中下跌，此前最新美国数据显示上周失业金申请人数下降，降低了美联储即将降息的可能性。对避险资产需求的减弱也令金价承压，市场对美国即将对伊朗采取军事行动的担忧消退。不过，黄金仍有望实现周涨幅超2%，本周早些时候金价一度创下历史新高。与此同时，特朗普政府暂缓对关键矿物加征进口关税，但白银本周仍上涨近15%。,,🌍 金十,"['出口/航运', '流动性']",1,macro,2026-01-16 17:07:38
2026-01-16 17:07:37,【气派科技：向特定对象发行股票申请获证监会同意】金十数据1月16日讯，气派科技公告，公司近日收到中国证券监督管理委员会出具的《关于同意气派科技股份有限公司向特定对象发行股票注册的批复》。证监会同意公司向特定对象发行股票的注册申请。本批复自同意注册之日起12个月内有效。,,🌍 金十,[],0,other,2026-01-16 17:07:37
2026-01-16 17:07:29,乌克兰能源部长：乌克兰的燃料储备可维持20多天。,,🌍 金十,[],0,other,2026-01-16 17:07:29
2026-01-16 17:06:39,【康隆达：股权出售事项能否成功实施尚存在不确定性】金十数据1月16日讯，康隆达发布异动公告，公司股票于2026年1月14日、2026年1月15日、2026年1月16日连续三个交易日内日收盘价格涨幅偏离值累计达20%，属于股票交易异常波动。公司同意将下属子公司Suay Chin International Pte. Ltd.100%股权出售给NIANGADOU DISTRIBUT COMPAGNIE SAU的事项，各方虽已签订了协议，但尚需办理股权过户、工商变更等手续，交易过程中交易各方可能出现未依约履行合同义务的情况，最终能否成功实施尚存在不确定性。,,🌍 金十,[],0,other,2026-01-16 17:06:39
2026-01-16 17:05:19,【小米、OPPO、vivo、传音四家手机厂商下调全年出货预期】金十数据1月16日讯，1月16日，受上游供应链存储涨价影响，多家手机厂商近日下调全年整机订单数量，小米、OPPO下调超20%，vivo下调近15%，传音下调至7000万台以下，各家下调机型主要都侧重在中低端和海外产品。对此消息，小米、OPPO、vivo、传音等厂商并未作出回应。华为凭借供应链国产化的成本优势，其产品仍有一定利润空间，华为内部正讨论对Pura、nova、畅享等系列产品降价，以进一步抢占市场。荣耀尽管一同承压此次存储价格的上涨，但在中国区15%份额的目标不变。,,🌍 金十,"['海思/鸿蒙', 'HBM/存储']",1,tech,2026-01-16 17:05:19
2026-01-16 17:04:13,【新泉股份：不存在影响公司股票交易异常波动的重大事项】金十数据1月16日讯，新泉股份发布异动公告，公司股票交易于2026年1月14日至2026年1月16日连续3个交易日内收盘价格涨幅偏离值累计超过20%，根据《上海证券交易所交易规则》的有关规定，属于股票交易异常波动情形。经公司自查，并向控股股东、实际控制人书面问询确认，截止本公告披露日，不存在其他影响公司股票交易异常波动的重大事项，不存在其他应披露未披露的重大信息，包括但不限于重大资产重组、股份发行、上市公司收购、债务重组、业务重组、资产剥离、资产注入、股份回购、股权激励、破产重整、重大业务合作、引进战略投资者等重大事项。,,🌍 金十,[],0,other,2026-01-16 17:04:13
2026-01-16 17:04:10,美股盘前，明星科技股走强，美光科技(MU.O)涨超3%、AMD(AMD.O)涨超2%、台积电(TSM.N)涨超1%。,,🌍 金十,"['半导体', '芯片']",1,tech,2026-01-16 17:04:10
2026-01-16 17:03:58,伦锡日内下跌7%，现报49075.00美元/吨。伦锌日内下跌2.00%，现报3241.66美元/吨。,,🌍 金十,[],0,other,2026-01-16 17:03:58
2026-01-16 17:03:34,金十图示：2026年01月16日（周五）上海黄金交易所市场行情,,🌍 金十,[],0,other,2026-01-16 17:03:34
2026-01-16 17:22:02,【金晶科技：预计2025年净亏5.6亿元左右】金十数据1月16日讯，金晶科技公告，预计2025年度归属于上市公司股东的净利润为-5.6亿元左右，预计2025年度归属于上市公司股东的扣除非经常性损益的净利润为-5.8亿元左右。2025年建筑玻璃、光伏玻璃、纯碱行业市场低迷，公司主要产品销售价格同比下降、毛利率下滑，导致主营业务亏损。,,🌍 金十,"['🔴 利空: 亏损,下降']",1,stock_event,NEG,2026-01-16 17:22:02
2026-01-16 17:21:53,【治理“一品多证” 国家医保局规范骨、软骨及软组织植入材料】金十数据1月16日讯，为治理“一品多证、一证多件、一件多规”现象，国家医保局1月16日发布文件，对骨、软骨及软组织植入材料等医用耗材进行优化调整，形成规范统一的医保通用名，调整后涉及一级分类1个、二级分类18个、三级分类126个，修订形成医保通用名260个。,,🌍 金十,['🟢 利好: 发布'],1,stock_event,POS,2026-01-16 17:21:53
2026-01-16 17:21:41,【科士达：预计2025年净利润同比增长52.21%—67.43%】金十数据1月16日讯，科士达公告，预计2025年度净利润为6亿元—6.6亿元，同比增长52.21%—67.43%。公司布局“数据中心+新能源”业务，2025年度双板块业务呈现增长态势。数据中心业务为公司基本盘，近年数据中心行业掀起新一轮基建热潮，公司数据中心业务增速提振。新能源业务是公司业绩弹性较大的板块，随着欧洲储能市场需求回暖，新兴市场需求旺盛，公司新能源业务板块重回增长通道。双板块业务订单及出货量持续增加，以致公司整体业绩同比增速较快。,,🌍 金十,['🟢 利好: 增长'],1,stock_event,POS,2026-01-16 17:21:41
2026-01-16 17:20:58,【真视通：股东陈瑞良拟减持不超过2.24%】金十数据1月16日讯，真视通公告，持股470.14万股占2.24%的股东陈瑞良拟自公告后三个交易日后的三个月内（2026年1月22日至2026年4月21日），通过集中竞价及大宗交易方式合计减持不超470.14万股，占2.24%。其中，任意连续九十个自然日内，集中竞价减持不超1%，大宗交易减持不超2%。,,🌍 金十,['🔴 利空: 减持'],1,stock_event,NEG,2026-01-16 17:20:58
2026-01-16 17:20:32,【初灵信息：因信息披露违规收到警示函】金十数据1月16日讯，初灵信息公告，公司因未及时审议并披露关联交易及成本费用核算不准确等问题，收到浙江证监局出具的警示函。2024年1月至4月，公司与杭州妙联物联网技术有限公司及其子公司发生关联交易金额859.22万元，占净资产1.41%；2025年1月至4月，关联交易金额623.16万元，占净资产1.17%。公司未按规定及时履行审议程序和信息披露义务。此外，2022年和2023年上半年，公司人员薪酬分摊不准确，导致财务报表列报不准确。公司及相关人员将提交书面报告并采取整改措施。,,🌍 金十,['🔴 利空: 警示'],1,stock_event,NEG,2026-01-16 17:20:32
2026-01-16 17:19:56,"【大智慧：预计2025年度净亏3,400万元到5,000万元】金十数据1月16日讯，大智慧公告，公司预计2025年年度实现归属于母公司所有者的净利润为-3,400万元到-5,000万元，预计2025年年度实现归属于母公司所有者的扣除非经常性损益的净利润为-6,900万元到-8,500万元。本期较上年同期部分业务收入有所增长，公司持续推进降本增效，成本费用减少较大，但收入的增长尚不足以覆盖成本。",,🌍 金十,['🟢 利好: 增长'],1,stock_event,POS,2026-01-16 17:19:56
2026-01-16 17:19:47,【韩国就无人机事件传唤民间嫌疑人】金十数据1月16日讯，当地时间16日，韩国负责调查“在朝鲜进行无人机飞行”的军警联合调查组对一名民间嫌疑人进行传唤调查。,,🌍 金十,['🔴 利空: 调查'],1,stock_event,NEG,2026-01-16 17:19:47
2026-01-16 17:11:00,【翠微股份：预计2025年度净亏4.5亿元-4.9亿元】金十数据1月16日讯，翠微股份公告，经财务部门初步测算，公司预计2025年年度实现归属于上市公司股东的净利润为-4.9亿元到-4.5亿元。预计2025年年度实现归属于上市公司股东的扣除非经常性损益的净利润为-5.3亿元到-4.9亿元。公司零售业务受市场环境影响，销售收入下滑，综合毛利减少，导致零售业务经营亏损。同时，基于当前零售业务市场环境影响，公司在报告期相应调减了递延所得税资产的确认金额，对本期净利润产生一定影响。,,🌍 金十,['🔴 利空: 亏损'],1,stock_event,NEG,2026-01-16 17:11:00
2026-01-16 17:10:01,【世茂能源：终止筹划控制权变更事项，股票复牌】金十数据1月16日讯，世茂能源公告，公司于2026年1月11日收到控股股东世茂投资及实际控制人正在筹划公司股份转让事项的通知，该事项可能导致公司的控制权变更。停牌期间，公司控股股东世茂投资及实际控制人与交易对方就筹划控制权变更事项进行了充分沟通与论证，但双方就部分核心条款未能达成一致意见，基于审慎决策原则，为切实维护公司全体股东及公司利益，相关交易方经慎重考虑、协商，决定终止筹划本次控制权变更事项，各方对终止筹划本次控制权变更事项无需承担违约责任。经公司向上海证券交易所申请，公司股票自2026年1月19日（星期一）开市起复牌。,,🌍 金十,['🔴 利空: 违约'],1,stock_event,NEG,2026-01-16 17:10:01
2026-01-16 17:09:50,【上汽集团与新疆准东经开区达成合作，建设年产1000台无人矿卡一体化项目】金十数据1月16日讯，近日，新疆准东经济技术开发区管理委员会与上汽集团旗下上汽红岩汽车有限公司、上海友道智途科技有限公司正式签署战略合作框架协议。三方将聚焦矿山无人驾驶规模化应用、智能装备制造基地建设及区域营运网络布局，共同推进年产能1000台的无人矿卡一体化项目，同步设立辐射新疆全域的无人矿卡区域营运中心。,,🌍 金十,['🟢 利好: 签署'],1,stock_event,POS,2026-01-16 17:09:50
2026-01-16 17:07:38,【黄金小幅走低 但本周仍能守住涨势】金十数据1月16日讯，金价在欧洲早盘交易中下跌，此前最新美国数据显示上周失业金申请人数下降，降低了美联储即将降息的可能性。对避险资产需求的减弱也令金价承压，市场对美国即将对伊朗采取军事行动的担忧消退。不过，黄金仍有望实现周涨幅超2%，本周早些时候金价一度创下历史新高。与此同时，特朗普政府暂缓对关键矿物加征进口关税，但白银本周仍上涨近15%。,,🌍 金十,"['🔴 利空: 下降', '出口']",1,macro,NEG,2026-01-16 17:07:38
